Thornglint Bridge,"['self enter W battlefield tap .', 'indestruct', '{ W } : add { g } W { w } .']"
Livewire Lash,"[""equip creatur get +2/+0 W W `` whenev W creatur becom W target W W spell , W creatur deal 2 damag W W target . ''"", 'equip { 2 }']"
Goblin Scouts,['creat three 1/1 red goblin scout creatur token W mountainwalk .']
Descent into Avernus,"['W W begin W W upkeep , put two descent counter W self . W W player creat x treasur token W self deal x damag W W player , W x W W number W descent counter W self .']"
Deathcult Rogue,"[""self ca n't W block except W rogu .""]"
Dawn Charm,"['choos one —', '• prevent W combat damag W would W dealt W turn .', '• regener target creatur .', '• counter target spell W target W .']"
Mind Raker,"['devoid', ""W self enter W battlefield , W may put W card W oppon own W exil W W player 's graveyard . W W W , W oppon discard W card .""]"
Raving Oni-Slave,"[""W self enter W leav W battlefield , W lose 3 life W W W n't control W demon .""]"
Ritual Guardian,"['coven — W W begin W combat W W turn , W W control three W W creatur W differ power , self gain lifelink W end W turn .']"
Moss Viper,['deathtouch']
Portcullis,"[""whenev W creatur enter W battlefield , W W W two W W W creatur W W battlefield , exil W creatur . return W card W W battlefield W W owner 's control W self leav W battlefield .""]"
Doomskar Titan,"['W self enter W battlefield , creatur W control get +1/+0 W gain hast W end W turn .', 'foretel { 4 } { r }']"
Wild Guess,"['W W addit cost W cast W spell , discard W card .', 'draw two card .']"
Induced Amnesia,"['W self enter W battlefield , target player exil W card W W hand face W , W draw W mani card .', ""W self W put W W graveyard W W battlefield , return W exil card W W owner 's hand .""]"
Heartseeker,"[""equip creatur get +2/+1 W W `` { W } , unattach parent : destroy target creatur . ''"", 'equip { 5 }']"
"Orochi Eggwatcher // Shidako, Broodmistress",[]
Imperial Ceratops,"['enrag — whenev self W dealt damag , W gain 2 life .']"
Shield Wall,['creatur W control get +0/+2 W end W turn .']
Ribbons of Night,"['self deal 4 damag W target creatur W W gain 4 life . W { u } W spent W cast W spell , draw W card .']"
Vengeful Archon,"['fli', '{ x } : prevent W next x damag W would W dealt W W W turn . W damag W prevent W way , self deal W much damag W target player W planeswalk .']"
Blind with Anger,['untap target non-legendari creatur W gain control W W W end W turn . W creatur gain hast W end W turn .']
Bonded Horncrest,"[""self ca n't attack W block alon .""]"
Akroan Line Breaker,"['heroic — whenev W cast W spell W target self , self get +2/+0 W gain intimid W end W turn .']"
Inside Out,"[""switch target creatur 's power W tough W end W turn ."", 'draw W card .']"
Flame Jet,"['self deal 3 damag W target player W planeswalk .', 'cycl { 2 }']"
Sudden Disappearance,"[""exil W non-land perman target player control . return W exil card W W battlefield W W owner 's control W W begin W W next end step .""]"
Claim of Erebos,"['enchant creatur', ""enchant creatur W `` { 1 } { b } , { W } : target player lose 2 life . ''""]"
Secret Salvage,"['exil target non-land card W W graveyard . search W librari W W number W card W W W name W W card , reveal W , put W W W hand , W shuffl .']"
"Roalesk, Apex Hybrid","['fli , trampl', 'W self enter W battlefield , put two +1/+1 counter W anoth target creatur W control .', 'W self die , prolifer , W prolifer W .']"
Cruel Feeding,"['strive — W spell cost { 2 } { b } W W cast W W target beyond W first .', 'W number W target creatur W get +1/+0 W gain lifelink W end W turn .']"
Canal Dredger,"['draft self face W .', 'W player pass W last card W W booster pack W W player W draft W card name name_canal_dredg .', '{ W } : put target card W W graveyard W W bottom W W librari .']"
Spare Supplies,"['self enter W battlefield tap .', 'W self enter W battlefield , draw W card .', '{ 2 } , { W } , sacrific self : draw W card .']"
Village Cannibals,"['whenev anoth human creatur die , put W +1/+1 counter W self .']"
Novice Occultist,"['W self die , W draw W card W W lose 1 life .']"
Unnatural Speed,['target creatur gain hast W end W turn .']
Blacklance Paragon,"['flash', 'W self enter W battlefield , target knight gain deathtouch W lifelink W end W turn .']"
Cackling Flames,"['self deal 3 damag W W target .', 'hellbent — self deal 5 damag instead W W W W card W hand .']"
Tuskeri Firewalker,['boast — { 1 } : exil W top card W W librari . W may play W card W turn .']
Frostwielder,"['W W creatur dealt damag W self W turn would die , exil W instead .', '{ W } : self deal 1 damag W W target .']"
Umbra Mystic,['aura attach W perman W control W totem armor .']
Skyshroud Cutter,"[""W W control W forest , rather W pay W spell 's mana cost , W may W W W player gain 5 life .""]"
Kry Shield,"['{ 2 } , { W } : prevent W damag W would W dealt W turn W target creatur W control . W creatur get +0/+x W end W turn , W x W W mana valu .']"
Wojek Siren,['radianc — target creatur W W W creatur W share W color W W get +1/+1 W end W turn .']
Loxodon Anchorite,['{ W } : prevent W next 2 damag W would W dealt W W target W turn .']
Renegade Reaper,"['fli', 'W self enter W battlefield , mill four card . W W least one angel card W mill W way , W gain 4 life .']"
Scent of Ivy,"['reveal W number W green card W W hand . target creatur get +x/+x W end W turn , W x W W number W card reveal W way .']"
Latulla's Orders,"['flash', 'enchant creatur', 'whenev enchant creatur deal combat damag W defend player , W may destroy target artifact W player control .']"
Petrified Wood-Kin,"[""W spell ca n't W counter ."", 'bloodthirst x', 'protect W instant']"
Quag Vampires,"['multikick { 1 } { b }', 'swampwalk', 'self enter W battlefield W W +1/+1 counter W W W W time W W kick .']"
Power Matrix,"['{ W } : target creatur get +1/+1 W gain fli , first strike , W trampl W end W turn .']"
D'Avenant Trapper,"['whenev W cast W histor spell , tap target creatur W oppon control .']"
Corpulent Corpse,"['fear', 'suspend 5— { b }']"
Jade Idol,"['whenev W cast W spirit W arcan spell , self becom W 4/4 spirit artifact creatur W end W turn .']"
Recuperate,"['choos one —', '• W gain 6 life .', '• prevent W next 6 damag W would W dealt W target creatur W turn .']"
Precision Bolt,['self deal 3 damag W W target .']
Commune with Nature,['look W W top five card W W librari . W may reveal W creatur card W among W W put W W W hand . put W rest W W bottom W W librari W W order .']
Touch of Invisibility,"[""target creatur ca n't W block W turn ."", 'draw W card .']"
Hailstorm Valkyrie,"['fli , trampl', '{ W } { W } : self get +2/+2 W end W turn .']"
Break Open,['turn target face-down creatur W oppon control face W .']
Chained to the Rocks,"['enchant mountain W control', 'W self enter W battlefield , exil target creatur W oppon control W self leav W battlefield .']"
Kessig Cagebreakers,"[""whenev self attack , creat W 2/2 green wolf creatur token W 's tap W attack W W creatur card W W graveyard .""]"
Stoneforge Acolyte,"['cohort — { W } , tap W untap alli W control : look W W top four card W W librari . W may reveal W equip card W among W W put W W W hand . put W rest W W bottom W W librari W W order .']"
Cephalid Broker,"['{ W } : target player draw two card , W discard two card .']"
Belligerent Whiptail,"['landfal — whenev W land enter W battlefield W W control , self gain first strike W end W turn .']"
Wall of Souls,"['defend', 'whenev self W dealt combat damag , W deal W much damag W target oppon W planeswalk .']"
Stromgald Crusader,"['protect W white', '{ b } : self gain fli W end W turn .', '{ b } { b } : self get +1/+0 W end W turn .']"
Luminous Guardian,"['{ w } : self get +0/+1 W end W turn .', '{ 2 } : self W block W addit creatur W turn .']"
Armament Corps,"['W self enter W battlefield , distribut two +1/+1 counter among one W two target creatur W control .']"
Damping Sphere,"['W W land W tap W two W W mana , W produc { c } instead W W W type W amount .', 'W spell W player cast cost { 1 } W W cast W W W spell W player W cast W turn .']"
Awe Strike,"['W next time target creatur would deal damag W turn , prevent W damag . W gain life equal W W damag prevent W way .']"
Mnemonic Betrayal,"[""exil W oppon ' graveyard . W may cast spell W among W card W turn , W W may spend mana W though W W mana W W type W cast W spell . W W begin W W next end step , W W W W card remain exil , return W W W owner ' graveyard ."", 'exil self .']"
Blast Zone,"['self enter W battlefield W W charg counter W W .', '{ W } : add { c } .', '{ x } { x } , { W } : put x charg counter W self .', '{ 3 } , { W } , sacrific self : destroy W non-land perman W mana valu equal W W number W charg counter W self .']"
Odunos River Trawler,"['W self enter W battlefield , return target enchant creatur card W W graveyard W W hand .', '{ w } , sacrific self : return target enchant creatur card W W graveyard W W hand .']"
"Zellix, Sanity Flayer","['hive mind — whenev W player mill one W W creatur card , W creat W 1/1 black horror creatur token .', '{ 1 } , { W } : target player mill three card .', 'choos W background']"
Vestige of Emrakul,"['devoid', 'trampl']"
Vengeful Ancestor,"['fli', 'whenev self enter W battlefield W attack , goad target creatur .', 'whenev W goad creatur attack , W deal 1 damag W W control .']"
Alaborn Zealot,"['W self block W creatur , destroy W creatur W self .']"
Vexing Devil,"['W self enter W battlefield , W oppon may W W deal 4 damag W W . W W player W , sacrific self .']"
Spelleater Wolverine,['self W doubl strike W long W W W three W W instant and/or sorceri card W W graveyard .']
Kaleidoscorch,"['converg — self deal x damag W W target , W x W W number W color W mana spent W cast W spell .', 'flashback { 4 } { r }']"
Lifted by Clouds,"['target creatur gain fli W end W turn .', 'splice onto arcan { 1 } { u }']"
Omen of the Sea,"['flash', 'W self enter W battlefield , scri 2 , W draw W card .', '{ 2 } { u } , sacrific self : scri 2 .']"
Plated Crusher,"['trampl', 'hexproof']"
Juju Bubble,"['cumul upkeep { 1 }', 'W W play W card , sacrific self .', '{ 2 } : W gain 1 life .']"
Dire Wolves,['self W band W long W W control W plain .']
Seismic Shift,"[""destroy target land . W W two target creatur ca n't block W turn .""]"
Glaring Spotlight,"[""creatur W oppon control W hexproof W W W target W spell W abil W control W though W W n't W hexproof ."", ""{ 3 } , sacrific self : creatur W control gain hexproof W end W turn W ca n't W block W turn .""]"
Sink into Takenuma,"[""sweep — return W number W swamp W control W W owner 's hand . target player discard W card W W swamp return W way .""]"
Scarred Vinebreeder,"['{ 2 } { b } , exil W elf card W W graveyard : self get +3/+3 W end W turn .']"
Glory of Warfare,"[""W long W W 's W turn , creatur W control get +2/+0 ."", ""W long W W 's W W turn , creatur W control get +0/+2 .""]"
Boggart Mob,"['champion W goblin', 'whenev W goblin W control deal combat damag W W player , W may creat W 1/1 black goblin rogu creatur token .']"
Morningtide,['exil W graveyard .']
Bloodsky Berserker,"['whenev W cast W second spell W turn , put two +1/+1 counter W self . W gain menac W end W turn .']"
Rootwater Diver,"['{ W } , sacrific self : return target artifact card W W graveyard W W hand .']"
Mistform Warchief,"['creatur spell W cast W share W creatur type W self cost { 1 } less W cast .', '{ W } : self becom W creatur type W W choic W end W turn .']"
Daring Demolition,['destroy target creatur W vehicl .']
Meandering Towershell,"['islandwalk', 'whenev self attack , exil W . return W W W battlefield W W control tap W attack W W begin W W declar attack step W W next turn .']"
Shrill Howler // Howling Chorus,[]
Sheltered Thicket,"['', 'self enter W battlefield tap .', 'cycl { 2 }']"
Alluring Siren,['{ W } : target creatur W oppon control attack W W turn W abl .']
Fend Off,"['prevent W combat damag W would W dealt W target creatur W turn .', 'cycl { 2 }']"
Dolmen Gate,['prevent W combat damag W would W dealt W attack creatur W control .']
Inevitable End,"['enchant creatur', ""enchant creatur W `` W W begin W W upkeep , sacrific W creatur . ''""]"
Forced Adaptation,"['enchant creatur', 'W W begin W W upkeep , put W +1/+1 counter W enchant creatur .']"
Duergar Assailant,['sacrific self : W deal 1 damag W target attack W block creatur .']
Neurok Stealthsuit,"['equip creatur W shroud .', '{ u } { u } : attach self W target creatur W control .', 'equip { 1 }']"
Crimson Wisps,"['target creatur becom red W gain hast W end W turn .', 'draw W card .']"
Zebra Unicorn,"['whenev self deal damag , W gain W much life .']"
Jasmine Seer,"['{ 2 } { w } , { W } : reveal W number W white card W W hand . W gain 2 life W W card reveal W way .']"
Extortion,"[""look W target player 's hand W choos W W two card W W . W player discard W card .""]"
Penumbra Wurm,"['trampl', 'W self die , creat W 6/6 black wurm creatur token W trampl .']"
Silver Raven,"['fli', 'W self enter W battlefield , scri 1 .']"
Cephalid Facetaker,"[""self ca n't W block ."", ""W W begin W combat W W turn , W may W self becom W copi W anoth target creatur W end W turn , except W 's 1/4 W W `` W creatur ca n't W block . ''""]"
Struggle for Skemfar,"[""put W +1/+1 counter W target creatur W control . W W creatur fight W W one target creatur W W n't control ."", 'foretel { g }']"
Kobolds of Kher Keep,[]
Illusory Wrappings,"['enchant creatur', 'enchant creatur W base power W tough 0/2 .']"
Glyph of Reincarnation,"['cast W spell W W combat .', ""destroy W creatur W W block W target wall W turn . W ca n't W regener . W W creatur W die W way , put W creatur card W W graveyard W W player W control W creatur W last time W becam block W W wall onto W battlefield W W owner 's control .""]"
